	number	value	params_colsample_bytree	params_gamma	params_learning_rate	params_max_depth	params_min_child_weight	params_n_estimators	params_reg_alpha	params_reg_lambda	state
0	0		0.33	2.0	0.054419637625231804	10.0	2.0	151.0	1.0	2.0	FAIL
1	1	0.4973708769151251	0.33	2.0	0.054419637625231804	10.0	2.0	151.0	1.0	2.0	COMPLETE
2	2	0.5046372380824286	0.43000000000000005	5.0	0.007749355611266793	9.0	3.0	438.0	0.0	1.0	COMPLETE
3	3										RUNNING
4	4		0.33	2.0	0.054419637625231804	10.0	2.0	151.0	1.0	2.0	RUNNING
5	5		0.33	2.0	0.054419637625231804	10.0	2.0	151.0	1.0	2.0	FAIL
6	6		0.33	2.0	0.054419637625231804	10.0	2.0	151.0	1.0	2.0	FAIL
7	7	0.5158171048604361	0.33	2.0	0.054419637625231804	10.0	2.0	151.0	1.0	2.0	COMPLETE
8	8	0.5158171048604361	0.33	2.0	0.054419637625231804	10.0	2.0	151.0	1.0	2.0	COMPLETE
9	9	0.5176125871582724	0.33	2.0	0.054419637625231804	10.0	2.0	151.0	1.0	2.0	COMPLETE
10	10	0.5159851881317404	0.43000000000000005	5.0	0.007749355611266793	9.0	3.0	438.0	0.0	1.0	COMPLETE
11	11	0.5212949687558964	0.42000000000000004	3.0	0.19373458461851206	10.0	4.0	617.0	3.0	1.0	COMPLETE
12	12	0.5212759815810306	0.88	5.0	0.04469333517797687	5.0	0.0	435.0	4.0	0.0	COMPLETE
13	13	0.5269657262149484	0.94	2.0	0.31208857630709835	3.0	4.0	708.0	4.0	4.0	COMPLETE
14	14	0.5155583464945457	0.56	4.0	0.050931220389704976	5.0	2.0	530.0	1.0	2.0	COMPLETE
15	15	0.5260381519408409	0.17	0.0	0.1484438468412078	7.0	0.0	940.0	2.0	4.0	COMPLETE
16	16	0.5596453762917901	0.67	0.0	0.005657796428138198	8.0	5.0	314.0	0.0	0.0	COMPLETE
17	17	0.9421468619180408	0.12000000000000001	1.0	0.015387646611054703	8.0	1.0	5.0	0.0	3.0	COMPLETE
18	18	0.5174455087994206	0.63	4.0	0.014889901478502261	8.0	3.0	294.0	2.0	1.0	COMPLETE
19	19	0.5147257029333268	0.2	3.0	0.022548153634092426	6.0	1.0	787.0	0.0	3.0	COMPLETE
20	20	0.5364589545092123	0.74	1.0	0.16053683447392206	2.0	4.0	17.0	2.0	5.0	COMPLETE
21	21	0.5186211822981645	0.48	4.0	0.02437992582935699	9.0	3.0	304.0	3.0	1.0	COMPLETE
22	22	0.5267482474780697	0.28	1.0	0.10602215115752864	9.0	1.0	543.0	5.0	0.0	COMPLETE
23	23	0.5372181665267176	0.52	3.0	0.46099578313333467	7.0	3.0	228.0	0.0	3.0	COMPLETE
24	24	0.5153794487203217	0.21000000000000002	5.0	0.009271874609430705	9.0	4.0	401.0	1.0	1.0	COMPLETE
25	25	0.5161829671711192	0.42000000000000004	4.0	0.09460209252069107	7.0	5.0	908.0	2.0	4.0	COMPLETE
26	26	0.514325396828333	0.23	3.0	0.024354973788143833	5.0	1.0	719.0	0.0	3.0	COMPLETE
27	27	0.5115153148667021	0.1	3.0	0.025340532701698913	4.0	1.0	794.0	0.0	3.0	COMPLETE
28	28	0.5165278953844515	0.13	1.0	0.034281650807713455	4.0	2.0	837.0	1.0	2.0	COMPLETE
29	29	0.5191350470549367	0.37	2.0	0.012281395016539827	2.0	1.0	987.0	0.0	3.0	COMPLETE
30	30										RUNNING
31	31	0.5182185324762255	0.28	3.0	0.005758991655431406	3.0	3.0	606.0	1.0	2.0	COMPLETE
